               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11975,            0.017734,            0.081593,           0.0090634,                0.12,           0.0060626,          0.00060626,             0.11639,            0.011038,            0.094604,              0.0991,              0.0001,              0.0001
                   1,             0.12016,            0.015609,            0.083067,             0.01676,                0.24,             0.01433,           0.0021259,             0.11534,            0.011065,            0.093494,            0.097241,           0.0002406,           0.0002406
                   2,             0.11234,            0.016991,            0.084795,            0.019231,                0.32,            0.016309,            0.002502,              0.1133,            0.011194,            0.091968,            0.095302,            0.000302,            0.000302
                   3,              0.1161,            0.020708,            0.077602,            0.017738,                0.32,            0.013364,           0.0027016,             0.11129,            0.011276,            0.090247,            0.093284,           0.0002842,           0.0002842
                   4,             0.11861,            0.017931,            0.074778,             0.01996,                 0.4,            0.014744,           0.0036257,             0.10996,            0.011372,            0.088965,            0.091187,           0.0001872,           0.0001872
