               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11855,            0.017522,            0.077952,            0.017895,              0.2451,            0.013447,           0.0032984,             0.11021,            0.013036,            0.082414,              0.0964,              0.0004,              0.0004
                   1,             0.11348,            0.019525,             0.07318,            0.023306,             0.52941,            0.036012,           0.0086249,             0.10159,            0.013774,            0.072026,            0.091855,          0.00085545,          0.00085545
                   2,             0.10324,            0.022969,            0.064188,            0.021156,             0.80392,             0.18107,            0.042504,            0.091661,            0.014255,            0.055509,            0.087261,           0.0012614,           0.0012614
                   3,            0.094857,            0.025124,            0.051688,             0.48315,             0.17418,             0.21923,            0.061378,            0.086239,            0.014559,            0.042446,            0.082618,           0.0016178,           0.0016178
                   4,            0.089929,            0.029554,            0.041906,             0.29647,             0.30392,             0.28343,            0.095689,            0.077604,            0.014886,            0.026701,            0.077925,           0.0019248,           0.0019248
                   5,            0.083482,            0.028883,            0.031379,             0.29476,              0.5163,             0.31798,            0.093884,            0.072053,            0.014224,            0.018682,            0.073182,           0.0021823,           0.0021823
                   6,            0.079395,            0.025473,            0.023292,             0.20869,             0.63725,             0.20573,            0.065118,            0.072707,            0.014391,            0.013356,             0.06839,           0.0023902,           0.0023902
                   7,            0.072676,            0.027023,             0.01741,             0.15409,             0.60784,             0.14171,            0.038074,            0.075583,            0.014449,            0.011528,            0.063549,           0.0025486,           0.0025486
                   8,            0.068071,            0.022506,            0.013882,             0.21362,             0.63725,             0.18656,            0.058585,            0.075108,            0.014433,           0.0099528,            0.058658,           0.0026576,           0.0026576
                   9,            0.065731,            0.021081,            0.012344,              0.2382,             0.61765,             0.22275,            0.064919,            0.071218,            0.015014,            0.008725,            0.053717,           0.0027171,           0.0027171
                  10,            0.064791,            0.021734,            0.011511,             0.25943,             0.78431,             0.26877,            0.085932,             0.07184,            0.015238,           0.0077413,            0.048727,            0.002727,            0.002727
                  11,            0.061917,            0.021277,           0.0099986,             0.32121,             0.87684,             0.32461,             0.12786,            0.071426,            0.015662,           0.0069166,            0.043687,           0.0026875,           0.0026875
                  12,            0.061892,            0.017862,           0.0092002,             0.26356,             0.66667,             0.36565,             0.11868,            0.061933,            0.015311,           0.0066025,            0.038598,           0.0025984,           0.0025984
                  13,             0.06049,            0.019116,            0.009112,             0.52617,              0.7549,             0.63535,             0.18159,            0.062278,            0.014327,            0.006073,             0.03346,           0.0024598,           0.0024598
                  14,            0.057506,            0.019196,           0.0083708,             0.50916,             0.79412,             0.67129,             0.34305,            0.051441,            0.012876,           0.0060081,            0.028272,           0.0022718,           0.0022718
                  15,            0.054284,            0.019514,           0.0086291,             0.51804,             0.87255,             0.69264,               0.247,             0.05044,            0.012489,           0.0058393,            0.023034,           0.0020343,           0.0020343
                  16,            0.052292,            0.019481,           0.0083976,             0.75642,             0.87255,             0.89911,             0.50722,             0.04265,            0.011675,           0.0056025,            0.017747,           0.0017472,           0.0017472
                  17,            0.049518,            0.018755,           0.0079744,             0.58866,             0.86987,             0.75635,             0.28824,            0.046405,            0.011552,            0.005574,            0.012411,           0.0014107,           0.0014107
                  18,            0.048372,            0.018109,           0.0077323,             0.86427,             0.90196,             0.95003,              0.4904,            0.041037,            0.011002,           0.0054916,           0.0070246,           0.0010246,           0.0010246
                  19,            0.042331,            0.017496,           0.0072565,             0.61128,             0.83333,             0.82239,             0.47532,            0.039715,            0.010452,           0.0055168,           0.0015891,          0.00058905,          0.00058905
