               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11803,             0.01801,              0.0784,            0.017906,                0.26,            0.012718,           0.0031113,             0.10794,            0.013403,            0.080429,              0.0946,              0.0006,              0.0006
                   1,             0.10878,            0.023027,            0.066895,            0.019895,             0.63333,            0.057341,            0.013874,            0.094665,            0.014246,            0.059848,            0.088294,           0.0012936,           0.0012936
                   2,            0.096794,            0.027196,            0.050876,             0.25627,             0.19296,              0.1691,            0.042437,            0.080558,            0.015438,            0.033759,             0.08198,           0.0019802,           0.0019802
                   3,            0.085522,            0.029868,             0.03474,             0.15222,                0.48,             0.14353,            0.041698,            0.071243,            0.015108,            0.018344,             0.07566,           0.0026599,           0.0026599
                   4,            0.079592,            0.027619,            0.021633,              0.1986,             0.67333,             0.19466,            0.050333,            0.073688,            0.014056,            0.011707,            0.069333,           0.0033327,           0.0033327
                   5,            0.074923,            0.025063,            0.014647,              0.1248,             0.43333,             0.10868,            0.031491,            0.076399,            0.014804,           0.0093998,            0.062999,           0.0039985,           0.0039985
                   6,            0.073568,            0.020781,            0.010867,             0.18552,             0.74667,             0.17785,            0.043465,            0.090051,            0.021083,           0.0066666,            0.056657,           0.0046574,           0.0046574
                   7,             0.07687,            0.018568,           0.0095323,             0.15239,             0.54667,             0.13877,            0.040002,             0.08785,            0.019883,           0.0057882,            0.050309,           0.0053094,           0.0053094
                   8,            0.071778,            0.019598,           0.0083607,             0.31291,             0.77333,             0.33791,             0.10031,            0.084529,             0.01607,           0.0048232,            0.043954,           0.0059545,           0.0059545
                   9,             0.07966,            0.017445,           0.0074884,              0.3761,             0.47825,             0.43991,             0.15772,             0.08102,            0.012074,           0.0046606,            0.037593,           0.0065926,           0.0065926
                  10,            0.082218,            0.017844,           0.0069955,             0.29818,             0.65714,             0.34471,             0.11819,            0.086855,            0.010116,           0.0046929,            0.031224,           0.0072238,           0.0072238
                  11,            0.081738,             0.01735,           0.0069905,             0.22851,             0.30667,             0.20126,            0.084502,            0.075614,           0.0099741,           0.0048258,            0.024848,           0.0078481,           0.0078481
                  12,            0.075573,            0.017985,            0.007534,              0.2347,             0.71355,               0.288,             0.12233,            0.078612,           0.0093272,           0.0050059,            0.018465,           0.0084654,           0.0084654
                  13,            0.076677,            0.017995,           0.0075197,              0.1898,             0.32667,              0.1517,            0.048609,            0.082359,           0.0093379,           0.0045776,            0.012076,           0.0090758,           0.0090758
                  14,            0.074255,            0.017589,           0.0069699,              0.4692,             0.31333,             0.38045,             0.20246,            0.082274,            0.008811,           0.0044258,            0.009307,            0.009307,            0.009307
                  15,            0.075811,            0.017214,           0.0068008,             0.28108,             0.36667,             0.25459,            0.062283,            0.082951,            0.008027,           0.0043033,            0.009307,            0.009307,            0.009307
                  16,            0.081547,            0.016032,           0.0068951,             0.52383,             0.34667,             0.46872,             0.16644,            0.076465,           0.0082481,           0.0043476,           0.0092575,           0.0092575,           0.0092575
                  17,             0.07608,            0.016827,           0.0065786,             0.18145,              0.5261,             0.21128,            0.044145,            0.085086,           0.0075689,           0.0042475,            0.009208,            0.009208,            0.009208
                  18,            0.078629,            0.017929,           0.0066797,             0.55627,                0.48,             0.59495,             0.29523,            0.066267,           0.0083444,           0.0041283,           0.0091585,           0.0091585,           0.0091585
                  19,            0.067438,            0.018579,           0.0064307,               0.572,                 0.6,             0.65708,             0.23468,            0.064717,           0.0083151,            0.003946,            0.009109,            0.009109,            0.009109
                  20,            0.063093,            0.019962,           0.0059642,             0.71088,             0.67207,             0.80357,             0.31595,            0.055955,           0.0084721,           0.0039331,           0.0090595,           0.0090595,           0.0090595
                  21,            0.056826,            0.018385,           0.0059613,             0.26152,             0.83333,             0.33408,            0.079265,            0.070814,           0.0084755,           0.0035978,             0.00901,             0.00901,             0.00901
                  22,            0.059773,            0.015413,            0.005383,             0.77382,                0.82,             0.88833,              0.3156,             0.06158,            0.008391,           0.0034164,           0.0089605,           0.0089605,           0.0089605
                  23,            0.060915,             0.01591,           0.0050225,             0.57182,             0.79333,             0.76534,             0.28257,            0.055522,           0.0079803,           0.0034361,            0.008911,            0.008911,            0.008911
                  24,            0.057171,            0.015491,           0.0050193,             0.52379,             0.47333,             0.58901,             0.20057,            0.057248,           0.0082317,            0.003408,           0.0088615,           0.0088615,           0.0088615
                  25,            0.052988,            0.014836,           0.0053756,             0.49524,                0.62,             0.55263,             0.26025,            0.052155,           0.0076397,           0.0034116,            0.008812,            0.008812,            0.008812
                  26,            0.059086,            0.014266,           0.0051982,              0.6353,             0.69333,             0.73234,             0.29256,            0.051601,           0.0071063,           0.0036422,           0.0087625,           0.0087625,           0.0087625
                  27,            0.052633,            0.017778,           0.0057277,             0.38648,             0.91333,             0.54627,             0.24579,            0.060133,            0.007134,           0.0035685,            0.008713,            0.008713,            0.008713
                  28,            0.058833,            0.014353,           0.0052418,             0.52511,             0.69333,             0.67211,             0.24133,              0.0539,           0.0069867,           0.0036175,           0.0086635,           0.0086635,           0.0086635
                  29,            0.048718,            0.013711,            0.005081,             0.68672,                0.72,             0.79318,             0.29691,            0.050808,           0.0068594,           0.0036928,            0.008614,            0.008614,            0.008614
                  30,            0.047371,            0.014309,           0.0053466,             0.87439,                0.88,             0.92148,             0.43839,            0.044843,            0.006613,           0.0036383,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05279,            0.016066,           0.0050305,             0.72085,                 0.9,             0.83966,              0.4629,            0.041807,           0.0064609,             0.00368,            0.008515,            0.008515,            0.008515
