               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11803,            0.018009,            0.078402,            0.017882,                0.26,             0.01271,           0.0030788,             0.10795,            0.013403,            0.080414,              0.0946,              0.0006,              0.0006
                   1,             0.10879,            0.023024,            0.066903,            0.019493,                0.62,            0.061029,            0.014212,            0.094684,            0.014252,            0.059848,            0.088291,           0.0012914,           0.0012914
                   2,            0.096808,            0.027205,            0.050921,              0.2452,             0.18667,             0.16517,             0.04101,            0.080444,            0.015461,            0.033789,            0.081974,           0.0019736,           0.0019736
                   3,            0.085596,            0.029873,            0.034842,             0.16505,                0.56,             0.15057,            0.045822,             0.07028,            0.015318,            0.018419,            0.075647,           0.0026465,           0.0026465
                   4,             0.07964,             0.02768,            0.021739,             0.19659,             0.71333,             0.18751,            0.052789,            0.077013,            0.012872,            0.012681,             0.06931,           0.0033102,           0.0033102
                   5,            0.076222,             0.02611,            0.016011,              0.3568,             0.62667,             0.39252,            0.085741,            0.075855,            0.014654,           0.0095654,            0.062965,           0.0039647,           0.0039647
                   6,            0.076674,             0.02043,            0.010989,             0.21088,                0.54,             0.30324,            0.069613,            0.081065,            0.020095,           0.0071112,             0.05661,           0.0046099,           0.0046099
                   7,            0.074155,            0.019157,            0.009882,             0.18287,             0.83333,              0.1856,            0.058158,            0.084947,            0.020541,           0.0058931,            0.050246,           0.0052459,           0.0052459
                   8,            0.079913,            0.019066,           0.0084753,              0.3816,             0.67468,             0.55818,             0.22512,            0.070569,            0.015641,           0.0049328,            0.043873,           0.0058726,           0.0058726
                   9,            0.073645,            0.017998,           0.0074284,             0.25368,             0.85333,             0.31489,            0.084817,            0.085817,            0.013045,              0.0047,             0.03749,           0.0064901,           0.0064901
                  10,            0.084199,            0.017543,           0.0067221,             0.19504,                0.68,             0.26477,             0.08342,            0.081442,            0.010516,           0.0045119,            0.031098,           0.0070984,           0.0070984
                  11,            0.072905,            0.018205,            0.006709,             0.33608,             0.39333,             0.32755,             0.10565,            0.078186,           0.0094346,           0.0045212,            0.024697,           0.0076974,           0.0076974
                  12,            0.076042,            0.017155,           0.0069334,             0.19466,             0.21333,             0.18902,            0.070996,            0.077945,           0.0092759,           0.0046018,            0.018287,           0.0082872,           0.0082872
                  13,            0.069414,             0.01851,           0.0070619,              0.2124,             0.40272,             0.21627,            0.084899,            0.087315,           0.0086042,           0.0042729,            0.011868,           0.0088677,           0.0088677
                  14,            0.088277,            0.015019,           0.0066817,             0.20616,             0.24667,             0.12357,            0.022492,             0.10351,           0.0078279,           0.0042631,            0.009076,            0.009076,            0.009076
                  15,            0.091436,            0.015141,           0.0066785,             0.36521,             0.37333,              0.3048,            0.081121,            0.081725,           0.0079424,           0.0047778,            0.009076,            0.009076,            0.009076
                  16,            0.080932,            0.016779,           0.0074496,             0.17981,                0.46,             0.18351,            0.061304,            0.088373,           0.0078249,           0.0047226,             0.00901,             0.00901,             0.00901
                  17,            0.077356,            0.017464,           0.0070284,             0.39526,             0.50109,             0.40842,             0.11752,            0.082255,           0.0077503,           0.0043993,            0.008944,            0.008944,            0.008944
                  18,             0.08363,            0.017382,           0.0068642,             0.67166,             0.38667,             0.48227,             0.14328,            0.081974,           0.0083009,            0.004257,            0.008878,            0.008878,            0.008878
                  19,             0.07237,            0.018905,           0.0069887,             0.43279,                0.74,              0.5406,             0.14953,            0.067963,           0.0086217,           0.0042439,            0.008812,            0.008812,            0.008812
                  20,            0.064956,            0.020715,           0.0062238,             0.65331,             0.61558,             0.72445,             0.33447,            0.062692,           0.0085579,           0.0039636,            0.008746,            0.008746,            0.008746
                  21,            0.056663,            0.018905,           0.0058384,             0.59402,             0.71209,             0.74193,             0.30386,            0.061222,           0.0088965,            0.003653,             0.00868,             0.00868,             0.00868
                  22,            0.061152,            0.015967,           0.0055149,              0.5349,             0.77333,             0.73364,             0.34607,            0.054525,           0.0089591,           0.0035768,            0.008614,            0.008614,            0.008614
                  23,            0.059442,            0.016718,           0.0052946,             0.58649,             0.81333,             0.78943,             0.34416,            0.050207,           0.0080987,            0.003529,            0.008548,            0.008548,            0.008548
                  24,            0.055672,            0.016028,           0.0050105,             0.38077,             0.77478,             0.61292,             0.28931,            0.054879,           0.0080792,           0.0035569,            0.008482,            0.008482,            0.008482
                  25,            0.051209,            0.015416,            0.005188,               0.533,             0.69333,             0.70051,             0.34239,            0.057527,           0.0075331,            0.003496,            0.008416,            0.008416,            0.008416
                  26,            0.052169,            0.014571,            0.004801,             0.48801,             0.85333,             0.66193,             0.41363,            0.044681,           0.0073951,           0.0034878,             0.00835,             0.00835,             0.00835
                  27,            0.051714,            0.017044,           0.0048716,              0.4913,              0.8821,             0.64759,             0.30692,            0.044143,           0.0073741,           0.0034415,            0.008284,            0.008284,            0.008284
                  28,            0.050604,            0.014532,           0.0046801,             0.54961,                0.84,              0.6823,             0.26613,            0.049027,           0.0072004,           0.0033363,            0.008218,            0.008218,            0.008218
                  29,            0.047319,            0.013469,           0.0045933,             0.57728,             0.77333,             0.67714,             0.30024,            0.051449,            0.006896,           0.0034429,            0.008152,            0.008152,            0.008152
                  30,            0.047421,            0.014061,           0.0047963,             0.56382,             0.86175,             0.69364,             0.32617,            0.045489,            0.006666,           0.0035349,            0.008086,            0.008086,            0.008086
                  31,            0.046206,            0.016409,           0.0047449,             0.50458,             0.76667,             0.61424,             0.25979,            0.046268,           0.0066372,           0.0035813,             0.00802,             0.00802,             0.00802
                  32,            0.049253,            0.014119,           0.0048663,               0.736,             0.87355,             0.82476,             0.38165,             0.04216,           0.0061375,           0.0036042,            0.007954,            0.007954,            0.007954
                  33,            0.042245,            0.015225,           0.0047262,             0.44959,             0.87675,             0.61223,             0.29899,            0.044163,           0.0064974,           0.0035142,            0.007888,            0.007888,            0.007888
