               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11967,            0.019224,            0.078722,            0.018391,             0.19512,            0.013336,           0.0030283,             0.10963,            0.013727,            0.087262,              0.0973,              0.0003,              0.0003
                   1,             0.11526,            0.020244,            0.076578,            0.024623,             0.37805,            0.025137,           0.0049119,             0.10144,            0.014182,            0.079871,            0.093665,          0.00066535,          0.00066535
                   2,             0.10845,            0.025838,            0.069211,            0.027607,             0.65854,            0.051473,             0.01168,            0.093685,            0.014551,            0.069598,            0.089991,           0.0009911,           0.0009911
                   3,            0.099584,            0.025875,            0.060627,            0.024441,             0.85366,             0.13145,            0.038803,            0.087271,            0.014855,            0.054028,            0.086277,           0.0012772,           0.0012772
                   4,            0.092388,            0.027964,            0.051343,             0.49344,             0.13078,             0.20901,            0.057994,            0.082088,            0.015231,            0.043552,            0.082524,           0.0015238,           0.0015238
                   5,            0.089487,              0.0277,            0.044765,             0.39697,             0.23171,             0.26122,            0.081524,            0.076736,            0.015563,            0.033948,            0.078731,           0.0017308,           0.0017308
                   6,            0.087746,             0.02712,            0.038389,             0.30722,             0.35366,             0.31683,             0.10009,            0.072128,            0.015827,            0.026248,            0.074898,           0.0018981,           0.0018981
                   7,            0.081636,            0.030548,            0.030454,             0.25949,             0.40244,             0.32026,             0.10899,            0.068773,            0.015552,            0.019911,            0.071026,           0.0020259,           0.0020259
                   8,            0.076997,            0.031808,            0.025416,             0.43529,             0.47006,             0.47494,             0.13436,            0.067033,            0.014736,            0.015222,            0.067114,            0.002114,            0.002114
                   9,            0.071721,            0.029837,            0.021308,             0.36067,             0.52976,              0.3181,            0.086308,            0.064548,             0.01461,            0.012531,            0.063163,           0.0021626,           0.0021626
                  10,             0.06871,            0.027675,             0.01596,             0.28915,             0.59756,              0.2902,            0.094151,             0.06107,            0.015079,            0.010853,            0.059172,           0.0021715,           0.0021715
                  11,            0.064406,            0.026333,            0.014811,             0.31088,             0.71951,              0.2997,             0.10163,            0.062445,            0.015497,           0.0095009,            0.055141,           0.0021409,           0.0021409
                  12,            0.063811,            0.021334,            0.014317,             0.46227,              0.7439,             0.54471,             0.19269,            0.061506,            0.014203,           0.0089359,            0.051071,           0.0020706,           0.0020706
                  13,            0.062165,            0.024163,            0.013215,             0.22671,             0.58635,             0.23814,            0.086878,            0.058263,            0.015238,           0.0084866,            0.046961,           0.0019607,           0.0019607
                  14,            0.057194,            0.023812,             0.01237,             0.29576,             0.76829,             0.31948,              0.1109,            0.061842,            0.015065,           0.0076405,            0.042811,           0.0018113,           0.0018113
                  15,             0.05969,            0.022219,            0.011047,             0.54282,             0.85366,             0.74942,              0.3294,            0.050312,            0.014603,           0.0072803,            0.038622,           0.0016222,           0.0016222
                  16,            0.051394,            0.021399,            0.010607,             0.37377,             0.89024,             0.44941,             0.16658,            0.055022,            0.014873,           0.0070335,            0.034394,           0.0013936,           0.0013936
                  17,            0.054462,             0.02101,            0.010249,             0.47661,             0.90244,             0.66107,              0.2951,            0.047098,            0.014019,           0.0067528,            0.030125,           0.0011254,           0.0011254
                  18,             0.04593,            0.019334,           0.0091491,             0.50342,             0.89024,             0.69299,              0.2806,            0.045438,            0.013617,           0.0066525,            0.025817,           0.0008175,           0.0008175
                  19,            0.049092,            0.021653,           0.0096843,             0.56471,             0.89024,              0.7523,             0.34614,            0.042799,            0.013208,           0.0066257,             0.02147,          0.00047005,          0.00047005
