               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11976,            0.017738,            0.081597,           0.0090634,                0.12,           0.0060626,          0.00060626,             0.11639,             0.01104,            0.094604,              0.0991,              0.0001,              0.0001
                   1,             0.12015,            0.015612,            0.083042,            0.016713,                0.24,            0.014182,           0.0021107,             0.11524,            0.011061,            0.093384,             0.09728,           0.0002802,           0.0002802
                   2,             0.11204,            0.017051,            0.084532,            0.018957,                0.32,            0.014661,           0.0023304,             0.11262,             0.01123,            0.091284,            0.095434,            0.000434,            0.000434
                   3,             0.11508,            0.021028,            0.076953,            0.018557,                0.36,            0.013855,           0.0030158,             0.10928,            0.011353,            0.088342,            0.093561,           0.0005614,           0.0005614
                   4,             0.11647,            0.018488,            0.073538,             0.02214,                0.48,            0.018896,           0.0046684,             0.10607,            0.011553,            0.085046,            0.091662,           0.0006624,           0.0006624
                   5,             0.10692,            0.020917,            0.069916,            0.019449,                0.48,            0.021052,           0.0054564,             0.10093,            0.011715,            0.081262,            0.089737,            0.000737,            0.000737
                   6,             0.10463,            0.025718,            0.068253,            0.021337,                 0.6,            0.060389,            0.014737,            0.094489,            0.011868,            0.076978,            0.087785,           0.0007852,           0.0007852
                   7,             0.10223,            0.021144,            0.066711,            0.031847,                 0.8,             0.11213,            0.022513,             0.08333,            0.012016,            0.069604,            0.085807,            0.000807,            0.000807
                   8,             0.10113,            0.021755,            0.065988,            0.031963,                0.84,             0.13579,            0.029713,            0.081605,            0.012098,            0.066296,            0.083802,           0.0008024,           0.0008024
                   9,            0.099152,             0.02022,            0.062591,            0.034483,                0.92,             0.14351,            0.041791,             0.08015,            0.012186,            0.062756,            0.081771,           0.0007714,           0.0007714
                  10,            0.098581,            0.028572,            0.060045,            0.031989,                0.92,              0.1361,            0.032863,            0.079598,            0.012151,            0.060144,            0.079714,            0.000714,            0.000714
                  11,            0.096898,            0.021573,            0.059073,            0.029639,                0.92,             0.13321,            0.039056,            0.079496,            0.012089,            0.057898,             0.07763,           0.0006302,           0.0006302
                  12,            0.097947,            0.024231,            0.057888,            0.029126,                0.96,             0.15937,            0.038207,            0.079486,            0.012077,            0.056067,             0.07552,             0.00052,             0.00052
                  13,            0.098174,            0.023994,            0.057171,            0.029308,                   1,              0.1449,            0.035213,            0.079434,            0.012094,            0.054285,            0.073383,           0.0003834,           0.0003834
                  14,            0.095212,            0.024233,            0.055897,            0.027842,                0.96,             0.14626,            0.037251,            0.079109,            0.012144,            0.052881,             0.07122,           0.0002204,           0.0002204
