               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11969,            0.016809,            0.078095,           0.0098847,             0.13953,            0.008919,           0.0012157,              0.1121,             0.01118,            0.089508,              0.0982,              0.0002,              0.0002
                   1,             0.11731,            0.017113,            0.077968,            0.017544,             0.30233,            0.018412,           0.0030304,             0.10862,            0.011309,            0.085901,            0.095475,          0.00047525,          0.00047525
                   2,             0.11386,            0.017474,            0.075738,            0.013584,             0.30233,            0.013764,           0.0036969,             0.10037,            0.011646,            0.079211,            0.092721,           0.0007208,           0.0007208
                   3,             0.10485,            0.022795,            0.069494,            0.023444,             0.67442,            0.079043,            0.015948,            0.092746,            0.011967,            0.070892,            0.089937,          0.00093665,          0.00093665
                   4,             0.10105,             0.02257,            0.063404,            0.024262,             0.86047,             0.17063,            0.055284,            0.085129,            0.012256,            0.061194,            0.087123,           0.0011228,           0.0011228
                   5,            0.094534,            0.021433,            0.057476,            0.022284,             0.93023,             0.23227,            0.077556,            0.081585,            0.012321,            0.052515,            0.084279,           0.0012793,           0.0012793
                   6,            0.091689,            0.024063,            0.050364,             0.46776,             0.16279,             0.27024,            0.090902,             0.07711,            0.012726,            0.042841,            0.081406,            0.001406,            0.001406
                   7,            0.084585,             0.02323,            0.046626,             0.43147,             0.18605,             0.30057,            0.086088,            0.073504,             0.01304,            0.037329,            0.078503,           0.0015031,           0.0015031
                   8,            0.085339,            0.027981,            0.041633,             0.37131,             0.25581,              0.3426,             0.09823,            0.067844,            0.013402,            0.029013,             0.07557,           0.0015704,           0.0015704
                   9,             0.08633,            0.025998,            0.037223,             0.39244,             0.30233,             0.36362,            0.097861,            0.065965,            0.013371,            0.025555,            0.072608,           0.0016081,           0.0016081
                  10,            0.085514,            0.024562,            0.033621,             0.32913,             0.46512,             0.44408,             0.13724,            0.063785,            0.013407,            0.020061,            0.069616,            0.001616,            0.001616
                  11,            0.079218,             0.02397,            0.027897,             0.40153,             0.48837,             0.47156,             0.14759,            0.063651,            0.013096,            0.017536,            0.066594,           0.0015943,           0.0015943
                  12,            0.072626,            0.028374,            0.022486,             0.45933,              0.7907,             0.52439,             0.21049,            0.061365,            0.012773,            0.014336,            0.063543,           0.0015428,           0.0015428
                  13,            0.070679,            0.024153,            0.021542,             0.54644,              0.7907,             0.58607,             0.21136,            0.064868,            0.011918,            0.012965,            0.060462,           0.0014616,           0.0014616
                  14,            0.072142,            0.027585,            0.019077,             0.55136,             0.81395,             0.66381,             0.22029,            0.058463,            0.012265,             0.01132,            0.057351,           0.0013508,           0.0013508
                  15,            0.067639,              0.0287,            0.017845,             0.64721,             0.81395,             0.70324,             0.24403,            0.064361,            0.011262,            0.010684,             0.05421,           0.0012102,           0.0012102
                  16,            0.066659,            0.023362,            0.016178,             0.69867,              0.7907,             0.82383,             0.34534,            0.054099,            0.011711,           0.0098301,             0.05104,             0.00104,             0.00104
                  17,            0.064924,            0.023895,            0.016643,             0.46331,             0.74419,             0.50765,             0.16398,            0.056914,            0.011415,           0.0095577,             0.04784,          0.00084005,          0.00084005
                  18,            0.061074,            0.021809,            0.014819,             0.71487,             0.81395,             0.84703,             0.32981,            0.051549,            0.011357,           0.0093655,             0.04461,           0.0006104,           0.0006104
                  19,            0.061989,            0.023861,            0.014947,             0.75495,             0.78815,             0.83512,             0.32616,            0.051819,            0.011126,           0.0093044,            0.041351,          0.00035105,          0.00035105
